fipstate,fipscty,naics,empflag,emp,est
53,001,------,,4039,403
53,001,11----,,316,15
53,001,115///,,316,15
53,001,1151//,,316,15
53,001,11511/,,316,15
53,001,115112,A,0,6
53,001,115113,A,0,2
53,001,115114,,171,5
53,001,115115,C,0,2
53,001,22----,B,0,2
53,001,221///,B,0,2
53,001,2211//,B,0,2
53,001,22112/,B,0,2
53,001,221122,B,0,2
53,001,23----,,130,38
53,001,233///,B,0,15
53,001,2332//,,19,9
53,001,23321/,,19,9
53,001,233210,,19,9
53,001,2333//,A,0,6
53,001,23331/,A,0,1
53,001,233310,A,0,1
53,001,23332/,A,0,5
53,001,233320,A,0,5
53,001,234///,B,0,4
53,001,2349//,B,0,4
53,001,23491/,A,0,1
53,001,234910,A,0,1
53,001,23499/,B,0,3
53,001,234990,B,0,3
53,001,235///,,61,19
53,001,2351//,,15,4
53,001,23511/,,15,4
53,001,235110,,15,4
53,001,2352//,A,0,1
53,001,23521/,A,0,1
53,001,235210,A,0,1
53,001,2353//,A,0,3
53,001,23531/,A,0,3
53,001,235310,A,0,3
53,001,2355//,,4,3
53,001,23551/,,4,3
53,001,235510,,4,3
53,001,2357//,A,0,1
53,001,23571/,A,0,1
53,001,235710,A,0,1
53,001,2358//,A,0,1
53,001,23581/,A,0,1
53,001,235810,A,0,1
53,001,2359//,,19,6
53,001,23593/,A,0,5
53,001,235930,A,0,5
53,001,23599/,A,0,1
53,001,235990,A,0,1
53,001,31----,,1190,15
53,001,311///,G,0,6
53,001,3111//,A,0,1
53,001,31111/,A,0,1
53,001,311119,A,0,1
53,001,3112//,A,0,1
53,001,31122/,A,0,1
53,001,311223,A,0,1
53,001,3114//,G,0,2
53,001,31141/,G,0,2
53,001,311411,G,0,2
53,001,3116//,A,0,1
53,001,31161/,A,0,1
53,001,311611,A,0,1
53,001,3118//,A,0,1
53,001,31181/,A,0,1
53,001,311811,A,0,1
53,001,315///,A,0,1
53,001,3152//,A,0,1
53,001,31521/,A,0,1
53,001,315212,A,0,1
53,001,326///,A,0,1
53,001,3261//,A,0,1
53,001,32619/,A,0,1
53,001,326192,A,0,1
53,001,327///,A,0,2
53,001,3273//,A,0,2
53,001,32732/,A,0,2
53,001,327320,A,0,2
53,001,332///,A,0,1
53,001,3327//,A,0,1
53,001,33271/,A,0,1
53,001,332710,A,0,1
53,001,333///,A,0,2
53,001,3331//,A,0,2
53,001,33311/,A,0,2
53,001,333111,A,0,2
53,001,335///,A,0,1
53,001,3353//,A,0,1
53,001,33531/,A,0,1
53,001,335313,A,0,1
53,001,339///,A,0,1
53,001,3399//,A,0,1
53,001,33995/,A,0,1
53,001,339950,A,0,1
53,001,42----,,401,36
53,001,421///,C,0,13
53,001,4214//,A,0,1
53,001,42145/,A,0,1
53,001,421450,A,0,1
53,001,4218//,C,0,12
53,001,42182/,,193,10
53,001,421820,,193,10
53,001,42183/,A,0,1
53,001,421830,A,0,1
53,001,42184/,A,0,1
53,001,421840,A,0,1
53,001,422///,C,0,23
53,001,4224//,A,0,3
53,001,42243/,A,0,1
53,001,422430,A,0,1
53,001,42248/,A,0,1
53,001,422480,A,0,1
53,001,42249/,A,0,1
53,001,422490,A,0,1
53,001,4225//,,59,10
53,001,42251/,B,0,9
53,001,422510,B,0,9
53,001,42259/,A,0,1
53,001,422590,A,0,1
53,001,4226//,A,0,2
53,001,42269/,A,0,2
53,001,422690,A,0,2
53,001,4227//,A,0,2
53,001,42272/,A,0,2
53,001,422720,A,0,2
53,001,4229//,,103,6
53,001,42291/,C,0,5
53,001,422910,C,0,5
53,001,42299/,A,0,1
53,001,422990,A,0,1
53,001,44----,,590,66
53,001,441///,,63,9
53,001,4411//,,16,3
53,001,44111/,A,0,2
53,001,441110,A,0,2
53,001,44112/,A,0,1
53,001,441120,A,0,1
53,001,4413//,,47,6
53,001,44131/,,18,3
53,001,441310,,18,3
53,001,44132/,,29,3
53,001,441320,,29,3
53,001,442///,A,0,2
53,001,4421//,A,0,1
53,001,44211/,A,0,1
53,001,442110,A,0,1
53,001,4422//,A,0,1
53,001,44221/,A,0,1
53,001,442210,A,0,1
53,001,443///,B,0,2
53,001,4431//,B,0,2
53,001,44311/,A,0,1
53,001,443111,A,0,1
53,001,44312/,B,0,1
53,001,443120,B,0,1
53,001,444///,,112,13
53,001,4441//,,33,5
53,001,44413/,A,0,2
53,001,444130,A,0,2
53,001,44419/,A,0,3
53,001,444190,A,0,3
53,001,4442//,,79,8
53,001,44422/,,79,8
53,001,444220,,79,8
53,001,445///,,191,9
53,001,4451//,C,0,7
53,001,44511/,,176,6
53,001,445110,,176,6
53,001,44512/,A,0,1
53,001,445120,A,0,1
53,001,4453//,A,0,2
53,001,44531/,A,0,2
53,001,445310,A,0,2
53,001,446///,,47,3
53,001,4461//,,47,3
53,001,44611/,,47,3
53,001,446110,,47,3
53,001,447///,,77,11
53,001,4471//,,77,11
53,001,44711/,,59,6
53,001,447110,,59,6
53,001,44719/,,18,5
53,001,447190,,18,5
53,001,448///,,24,6
53,001,4481//,B,0,5
53,001,44811/,A,0,1
53,001,448110,A,0,1
53,001,44812/,A,0,1
53,001,448120,A,0,1
53,001,44814/,A,0,1
53,001,448140,A,0,1
