fipstate,fipscty,sic,empflag,emp,est
53,001,----,,3770,412
53,001,07--,,226,23
53,001,0700,,226,23
53,001,0710,A,0,1
53,001,0720,,200,11
53,001,0740,A,0,1
53,001,0750,,20,5
53,001,0760,A,0,1
53,001,0761,A,0,1
53,001,0780,A,0,1
53,001,10--,A,0,1
53,001,1300,A,0,1
53,001,1310,A,0,1
53,001,15--,,109,38
53,001,1500,,24,16
53,001,1510,,22,14
53,001,1600,,35,5
53,001,1620,,30,4
53,001,1700,,50,17
53,001,1710,,8,3
53,001,1730,A,0,2
53,001,1750,A,0,1
53,001,1751,A,0,1
53,001,1760,A,0,1
53,001,1770,A,0,1
53,001,1780,A,0,1
53,001,1790,,20,8
53,001,1794,B,0,6
53,001,1799,A,0,2
53,001,20--,,1110,13
53,001,2000,,1050,4
53,001,2030,G,0,3
53,001,2037,G,0,3
53,001,2040,A,0,1
53,001,2048,A,0,1
53,001,2700,,37,3
53,001,2710,,37,3
53,001,3200,A,0,2
53,001,3270,A,0,2
53,001,3273,A,0,2
53,001,3500,,11,3
53,001,3520,A,0,2
53,001,3523,A,0,2
53,001,3590,A,0,1
53,001,3599,A,0,1
53,001,399\,A,0,1
53,001,40--,,178,41
53,001,4200,,114,30
53,001,4210,C,0,29
53,001,4220,A,0,1
53,001,4221,A,0,1
53,001,4700,B,0,4
53,001,4720,A,0,3
53,001,4724,A,0,3
53,001,4780,A,0,1
53,001,4800,A,0,4
53,001,4810,A,0,2
53,001,4813,A,0,2
53,001,4830,A,0,1
53,001,4900,B,0,3
53,001,4910,A,0,1
53,001,4930,A,0,2
53,001,4931,A,0,2
53,001,50--,,495,50
53,001,5000,,155,15
53,001,5030,A,0,1
53,001,5031,A,0,1
53,001,5040,A,0,2
53,001,5044,A,0,1
53,001,5047,A,0,1
53,001,5080,,134,12
53,001,5083,C,0,10
53,001,5084,A,0,1
53,001,5085,A,0,1
53,001,5100,,340,35
53,001,5140,A,0,2
53,001,5143,A,0,1
53,001,5148,A,0,1
53,001,5150,,76,14
53,001,5153,,75,12
53,001,5160,A,0,1
53,001,5169,A,0,1
53,001,5170,A,0,1
53,001,5171,A,0,1
53,001,5190,,231,17
53,001,5191,C,0,16
53,001,5199,A,0,1
53,001,52--,,724,94
53,001,5200,,30,4
53,001,5230,A,0,1
53,001,5250,A,0,2
53,001,5260,A,0,1
53,001,5400,,157,13
53,001,5410,C,0,12
53,001,5430,A,0,1
53,001,5500,,106,18
53,001,5510,A,0,2
53,001,5530,B,0,9
53,001,5540,,51,7
53,001,5600,A,0,2
53,001,5610,A,0,1
53,001,5650,A,0,1
53,001,5700,A,0,5
53,001,5710,A,0,4
53,001,5712,A,0,2
